uid,parent_uid,parent_xpath,tag,id,classes,xpath,depth,textContent,childrenCount,x,y,width,height,display,position,color,backgroundColor,zIndex,visibility
0486b648-a980-4120-9a35-b0762bfe9ab7,,,img,,,"id(""a-page"")/img[1]",0,,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
e3254f68-2d3b-4488-8d64-9e776af0bf5a,,,img,,,"id(""a-page"")/img[2]",0,,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
164852ae-ec79-4b39-af8e-c32ae2253e33,,,style,,,"id(""a-page"")/style[1]",0,.nav-bluebeacon .nav-cobrand{background-image: url(https://web.archive.org/web/20230301100644im_/htt,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
f63fbff0-f6ee-423f-970f-f5a3ea280524,,,a,nav-top,,"id(""nav-top"")",0,,0,0.0,68.0,0.0,0.0,inline,static,"rgb(0, 113, 133)","rgba(0, 0, 0, 0)",auto,visible
32a27572-8f3f-4e49-9d89-66cf9e498020,,,a,skiplink,skip-link,"id(""skiplink"")",0,Skip to main content,0,7.0,10.0,144.8515625,36.0,block,absolute,"rgb(0, 113, 133)","rgb(255, 255, 255)",-1,visible
e4aad93b-2d56-4a49-acde-2bb2fb91270e,,,header,navbar-main,"nav-opt-sprite,nav-flex,nav-locale-in,nav-lang-en,nav-ssl,nav-unrec,nav-progressive-attribute","id(""navbar-main"")",0,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",1,0.0,68.0,1265.0,99.0,flex,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,e4aad93b-2d56-4a49-acde-2bb2fb91270e,"id(""navbar-main"")",div,navbar,"nav-sprite-v1,celwidget,nav-bluebeacon,nav-a11y-t1,bold-focus-hover,layout2,nav-flex,layout3,layout3-alt,nav-packard-glow,hamburger,nav-progressive-attribute","id(""navbar"")",1,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",7,0.0,68.0,1265.0,99.0,flex,static,"rgb(15, 17, 17)","rgb(35, 47, 62)",198,visible
,,"id(""navbar"")",div,nav-belt,,"id(""nav-belt"")",2,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",3,0.0,68.0,1265.0,60.0,flex,static,"rgb(15, 17, 17)","rgb(19, 25, 33)",5,visible
,,"id(""nav-belt"")",div,,nav-left,"id(""nav-belt"")/div[1]",3,"window.navmet.tmp=+new Date();
  
    
      
      
      .in
    
  
window.navmet.push({key:'Logo",5,0.0,68.0,312.328125,60.0,flex,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""nav-belt"")/div[1]",script,,,"id(""nav-belt"")/div[1]/script[1]",4,window.navmet.tmp=+new Date();,0,0.0,0.0,0.0,0.0,none,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
