uid,parent_uid,parent_xpath,tag,id,classes,xpath,depth,textContent,childrenCount,x,y,width,height,display,position,color,backgroundColor,zIndex,visibility
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]",div,,"title--3qM6_,title--X01QH,titleAnchor--2TGNn,doubleLinesTitle--ATRHO","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[1]",14,Intex Snapset Water Pool - 4 Feet,0,7968.5546875,4271.796875,162.0,34.0,flow-root,static,"rgb(17, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]",div,,"price--13I9-,price--1eqs3","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]",14,"₹789.00₹1,500.00",2,7968.5546875,4305.796875,162.0,39.0,flex,static,"rgb(17, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]",div,,dealPrice--QJhpv,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[1]",15,₹789.00,2,7968.5546875,4323.296875,39.765625,21.5,block,static,"rgb(17, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[1]",span,,currencySymbolV2--4uJvJ,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[1]/span[1]",16,₹789.00,0,7968.5546875,4325.5,39.765625,12.5,inline,relative,"rgb(17, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[1]",span,,netPrice--2L7XO,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[1]/span[2]",16,,0,8008.3203125,4324.9921875,0.0,19.0,inline,relative,"rgb(17, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]",div,,listPrice--vhN5A,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[2]",15,"₹1,500.00",1,8011.71875,4325.796875,53.390625,19.0,block,static,"rgb(85, 85, 85)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[2]",span,,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[41]/div[1]/div[3]/div[2]/div[2]/span[1]",16,"₹1,500.00",0,8011.71875,4328.296875,53.390625,13.5,inline,static,"rgb(85, 85, 85)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]",div,,"scroll-carousel_slide__1ku-E,scroll-carousel_scrollItemOuter__2LsK9","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]",11,Featured nowWatch more livestreamsSee more,1,8150.5546875,4072.796875,192.0,280.0,block,static,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]",div,,"tile--t5OMY,col--1Fb-q,dMaxTile--3YlDU","id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]",12,Featured nowWatch more livestreamsSee more,3,8150.5546875,4072.796875,182.0,280.0,grid,relative,"rgb(15, 17, 17)","rgb(255, 255, 255)",auto,visible
,,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]",div,,imageContainer--14vu8,"id(""live-flagship-root"")/div[1]/div[2]/div[2]/div[1]/div[1]/div[42]/div[1]/div[1]",13,,1,8160.5546875,4080.796875,160.0,160.0,block,relative,"rgb(15, 17, 17)","rgba(0, 0, 0, 0)",1,visible
